,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
133150_3..S::1404446400.0,3,7,14,16,6,36,,,,3,-6,23,-20,10,-19,,58,16,21,0,,53,27,12,,2,,10,2,11,,14,-8,-11
138450_3..S01R::1404446400.0,,,15,22,12,2,4,-10,-19,-10,,3,,8,20,-25,,59,26,,0,23,26,19,20,,19,12,2,,5,19,,21
140300_3..S42R::1404446400.0,,,,,,,-183,9,-19,,,,,,30,-1,,,,,4,,,,0,,-1,,,,4,,,
142700_3..S42R::1404446400.0,,,,,,,,16,41,,,,,,,3,,,,,8,,,,-24,,8,,,,9,,,
000300_3..S42R::1404532800.0,,,,,,,-186,2,-199,,,,,,42,-15,,,,,-9,,,,-13,,-1,,,,20,,,
002300_3..S42R::1404532800.0,,,,,,,-191,15,-1399,,,,,,31,7,,,,,-4,,,,16,,-7,,,,14,,,
138450_3..S01R::1404532800.0,-4,-9,-43,0,21,3,5,-36,-19,,7,11,-21,52,6,9,58,199,13,-25,-43,9,19,10,10,1,8,8,24,4,78,13,-36,3
142700_3..S42R::1404532800.0,,,,,,,-360,11,11,,,,,,10,2,,,,,0,,,,-43,,29,,,,-2,,,
004300_3..S42R::1404532800.0,,,,,,,-182,3,11,,,,,,42,21,,,,,6,,,,2,,2,,,,-8,,,
006300_3..S42R::1404532800.0,,,,,,,-194,-3,41,,,,,,4,82,,,,,-13,,,,-14,,-17,,,,6,,,
008300_3..S42R::1404532800.0,,,,,,,-211,14,71,,,,,,30,3,,,,,-3,,,,-6,,-9,,,,10,,,
010300_3..S42R::1404532800.0,,,,,,,-217,2,-19,,,,,,42,-3,,,,,1,,,,-2,,12,,,,-5,,,
012300_3..S42R::1404532800.0,,,,,,,-191,-15,-19,,,,,,19,-12,,,,,-3,,,,-1,,-8,,,,-1,,,
014300_3..S42R::1404532800.0,,,,,,,-202,1,11,,,,,,23,0,,,,,-9,,,,20,,9,,,,-14,,,
016300_3..S42R::1404532800.0,,,,,,,-248,89,-19,,,,,,17,-9,,,,,-1,,,,-3,,-20,,,,8,,,
018300_3..S42R::1404532800.0,,,,,,,-226,10,11,,,,,,26,-20,,,,,-12,,,,-12,,-28,,,,-12,,,
020300_3..S42R::1404532800.0,,,,,,,-193,-10,-19,,,,,,16,-12,,,,,-8,,,,15,,7,,,,8,,,
022300_3..S42R::1404532800.0,,,,,,,-218,10,-19,,,,,,30,-20,,,,,-14,,,,-4,,-7,,,,-2,,,
024300_3..S42R::1404532800.0,,,,,,,-213,-67,-19,,,,,,36,18,,,,,-14,,,,36,,-5,,,,3,,,
026300_3..S42R::1404532800.0,,,,,,,-205,1,-19,,,,,,37,-34,,,,,10,,,,10,,-27,,,,-22,,,
028300_3..S42R::1404532800.0,,,,,,,-204,23,-19,,,,,,34,8,,,,,-10,,,,14,,10,,,,-22,,,
030300_3..S42R::1404532800.0,,,,,,,-209,-9,71,,,,,,-4,-11,,,,,1,,,,5,,6,,,,-4,,,
032100_3..S01R::1404532800.0,12,-11,26,1,25,-8,12,10,-19,36,436,7,-12,6,34,36,56,5,15,0,1,-4,-45,2,-38,-14,-14,-11,9,-5,-6,15,3,11
033400_3..S42R::1404532800.0,,,,,,,14,-1,41,,,,,,22,-4,,,,,-4,,,,-7,,-16,,,,-9,,,
034100_3..S01R::1404532800.0,-17,1,-1,-15,5,-7,6,-14,41,-4,9,1,-1,-17,-6,-16,66,17,-4,-17,-6,9,12,11,-5,6,2,4,6,-13,1,-10,1,8
035300_3..S42R::1404532800.0,,,,,,,6,-3,-19,,,,,,22,-2,,,,,3,,,,2,,-17,,,,-8,,,
035650_3..S01R::1404532800.0,-3,12,5,-32,10,-2,-5,5,41,15,-13,2,10,7,9,-4,53,-6,4,12,17,15,33,7,-3,-2,18,-8,-9,11,-7,12,18,-7
036850_3..S01R::1404532800.0,-13,2,10,8,0,22,1,1,-49,-3,12,10,-29,10,28,-9,48,27,11,-14,-10,13,28,3,10,-1,17,18,6,12,-7,-16,14,4
038050_3..S01R::1404532800.0,1,0,28,-10,13,-33,-23,-5,11,-9,-8,5,-28,7,12,-46,28,29,3,6,4,7,5,9,6,-7,6,0,1,7,2,4,-11,7
039250_3..S01R::1404532800.0,-13,-2,31,-2,15,-11,14,-1,11,-14,-16,4,1,9,-7,-21,34,59,13,-10,5,-11,10,1,-4,6,18,-48,-77,-10,156,39,5,0
040400_3..S01R::1404532800.0,-9,-13,8,2,3,9,14,3,11,10,-10,4,-17,1,93,2,46,48,-5,-4,-16,-10,13,13,12,-14,-16,-1,0,1,-7,6,8,-16
041600_3..S01R::1404532800.0,-10,-14,33,-2,-23,9,14,3,11,18,13,9,-45,-6,103,5,55,99,-11,3,-17,-14,5,-9,14,-14,-16,7,3,-3,-18,14,13,6
042800_3..S01R::1404532800.0,8,-17,24,-1,1,5,7,13,-19,12,-2,7,-13,7,82,0,25,-2,21,-9,5,-4,4,-4,-5,1,18,10,8,-16,-2,-2,-5,8
044000_3..S01R::1404532800.0,-36,6,-15,-10,3,6,-5,-12,71,0,-11,6,-58,-5,8,-18,62,-1,-3,-13,8,9,-4,9,6,3,-3,0,-36,9,-19,-3,-10,-3
045200_3..S01R::1404532800.0,-4,1,18,-16,-6,4,-14,-1,-19,-4,5,1,58,21,93,-5,45,58,-11,9,3,7,0,11,-1,-4,-12,-1,-3,5,-23,7,21,-5
046400_3..S01R::1404532800.0,6,13,12,-14,16,18,14,10,-19,13,-6,-4,-29,-31,2,-6,60,10,19,7,-7,7,-14,4,-13,19,17,-13,13,-9,58,14,-2,-13
047600_3..S01R::1404532800.0,,11,3,-1,11,4,3,-8,11,11,,7,-23,14,10,-16,,25,85,-1,-10,2,6,22,17,5,10,3,-1,-99,11,25,,-2
048800_3..S01R::1404532800.0,,,,4,31,6,3,-37,11,,,3,,8,21,16,,22,2,,15,3,31,38,9,,14,2,-4,,0,16,,-35
050000_3..S01R::1404532800.0,,,,,7,19,12,5,41,,,,,-1,30,2,,,-13,,11,47,8,,2,,21,,,,-5,5,,
051200_3..S01R::1404532800.0,,,,,,3,22,-11,11,,,,,-13,57,-13,,,,,-9,,-237,,-8,,-4,,,,6,,,
052400_3..S01R::1404532800.0,,,,,,,,1,11,,23,,,,,-6,44,,,,-1,,,,-4,,-9,,,,-13,,,
053600_3..S01R::1404532800.0,21,-11,,,,,,,-19,,15,,-13,,,,66,,,-5,,,,,,6,,,,12,,,-8,
054800_3..S01R::1404532800.0,10,-17,3,,,,,,-739,5,-17,,79,,,,50,43,,-4,,,,17,,-7,,4,4,-23,,,0,9
056000_3..S01R::1404532800.0,23,9,17,-1,5,,,,-1459,6,8,-13,-24,,,,42,11,3,9,,-16,2,27,,-9,,7,7,5,,-6,-11,11
057200_3..S01R::1404532800.0,-1,-5,17,-8,16,8,11,,,-10,-8,16,87,13,30,,53,28,-4,7,,14,15,27,,-6,,8,-3,4,,12,-12,-1
058400_3..S01R::1404532800.0,14,-18,-17,-26,13,8,36,14,,11,5,4,-20,13,12,7,45,0,2,-15,10,-32,7,14,-4,0,13,-4,-7,8,,4,-8,-5
059600_3..S01R::1404532800.0,-11,9,-1,-32,4,-4,3,-4,11,0,13,3,-24,-22,91,-7,42,65,-3,-15,2,6,10,23,1,-3,6,4,1,4,7,-12,13,0
060800_3..S01R::1404532800.0,10,9,0,11,3,20,12,24,11,17,-2,8,-27,-6,7,2,26,28,19,-11,-7,18,74,15,14,30,-1,-8,10,-12,28,9,-6,-8
062000_3..S01R::1404532800.0,5,-7,-8,2,-5,413,14,-3,11,-12,78,8,-17,5,53,-9,22,6,19,-9,-3,-6,16,-2,-5,-23,-82,-18,9,-14,-8,10,-6,8
063200_3..S01R::1404532800.0,,,,,,,,5,11,,,,,,,364,,,,,,,,,,,,,,,-11,,,
064400_3..S01R::1404532800.0,-13,8,6,-1,-5,3,31,13,41,5,276,6,-22,11,26,-7,54,26,15,8,18,-8,1,9,7,-3,30,-41,-9,7,136,-3,15,-4
065600_3..S01R::1404532800.0,-4,17,20,9,-27,22,-85,-8,41,20,-10,13,-24,9,190,13,30,6,-18,-6,-17,4,24,4,8,4,-1,11,7,9,-15,6,-10,4
066800_3..S01R::1404532800.0,1,17,20,18,3,13,9,10,-19,19,13,18,-26,7,28,-1,70,26,-7,8,17,153,2,-3,2,11,0,11,8,-12,33,4,-5,10
068000_3..S01R::1404532800.0,0,-1,14,-6,12,514,30,10,41,-2,15,5,-6,4,28,3,45,14,24,-5,2,-9,368,7,-2,14,24,-14,-19,-8,6,6,-8,6
069200_3..S01R::1404532800.0,10,7,14,-28,8,8,2,314,11,5,2,10,-23,33,13,453,36,24,19,-5,6,-7,8,13,12,9,18,23,-12,-9,-22,5,1,-11
066200_3..S01R::1404532800.0,3,-14,-13,-3,15,,,,,11,-7,-17,75,16,,,50,14,-24,10,,-11,6,16,,-5,,-7,-78,7,,-52,-8,-8
070400_3..S01R::1404532800.0,-16,6,13,2,26,6,-6,111,41,1,5,14,-25,-9,18,13,46,28,11,-12,-9,1,5,-18,10,8,-2,20,-3,-7,4,5,4,-4
071600_3..S01R::1404532800.0,4,-3,9,-9,0,24,-77,16,11,0,-4,4,-7,1,32,9,55,23,17,-4,7,15,18,1,-2,12,8,12,5,-9,11,6,-4,4
072800_3..S01R::1404532800.0,1,4,-7,-11,1,11,14,-5,41,-3,-9,0,-23,-9,12,-13,30,122,0,18,-9,11,22,-5,-11,-10,-4,-21,10,-29,-26,20,-9,13
074000_3..S01R::1404532800.0,5,12,12,16,25,9,12,5,11,14,18,15,-22,18,23,-2,70,60,6,-6,-4,-8,17,15,20,-2,18,-6,-14,2,2,5,2,11
075200_3..S01R::1404532800.0,13,-4,3,16,0,12,3,7,11,-1,1,14,14,14,30,-3,42,35,15,-4,-7,16,10,31,16,-1,26,2,23,6,0,6,11,14
076400_3..S01R::1404532800.0,-8,-8,21,15,12,-19,-5,2,11,-6,6,4,-20,12,37,20,53,42,22,-37,15,18,33,20,2,4,17,-4,21,-19,26,20,15,13
077600_3..S01R::1404532800.0,-18,-8,19,12,-4,29,-6,3,-19,-35,-22,12,-40,0,33,-2,49,0,18,5,16,12,23,6,-22,-11,13,14,7,-4,5,21,4,3
078800_3..S01R::1404532800.0,10,-9,14,-1,-3,11,1,5,11,14,0,-13,-6,-1,50,-2,37,109,-12,-19,1,-16,10,2,4,3,74,-8,-10,-15,-18,14,-3,-8
080000_3..S01R::1404532800.0,7,-6,38,-20,33,8,21,11,11,-2,-5,-13,-17,5,22,4,57,11,8,13,2,11,17,27,15,-8,11,7,-5,-3,9,15,0,-7
081200_3..S01R::1404532800.0,14,-2,52,-2,10,14,25,10,11,0,22,16,-8,27,9,31,50,33,19,20,1,9,44,34,14,17,23,2,24,18,11,20,12,11
082400_3..S01R::1404532800.0,10,-65,-24,5,8,19,13,17,11,10,4,16,-19,1,26,-3,51,7,-1,-9,-4,2,-6,10,13,6,-75,-4,-7,-13,114,-4,0,-13
083600_3..S01R::1404532800.0,-9,4,-28,-6,6,0,20,-5,11,1,6,11,32,8,7,-10,67,8,-6,-7,-4,14,35,1,21,-1,21,10,-21,9,5,-4,15,11
084800_3..S01R::1404532800.0,3,13,25,-16,25,16,36,-3,11,12,-9,13,-27,16,9,5,48,3,9,9,0,-20,27,15,5,-7,15,-5,14,-5,0,-14,-3,12
086000_3..S01R::1404532800.0,-12,5,18,-2,9,-6,-18,-16,11,1,9,11,-30,24,30,12,70,5,-4,5,26,-11,-10,19,2,-15,13,3,0,-33,-19,12,6,2
087200_3..S01R::1404532800.0,-8,-10,16,6,-2,17,-3,-6,11,16,-12,17,-42,19,29,18,66,6,17,16,-13,0,17,8,13,-5,17,-5,-7,-2,12,19,13,-7
088400_3..S01R::1404532800.0,4,-12,19,-16,24,12,8,10,-19,-13,-5,-6,41,-5,48,-2,62,23,11,-6,0,18,26,-34,22,-5,14,17,-24,-1,-1,-7,4,6
089600_3..S01R::1404532800.0,-11,-13,31,-22,24,1,0,-6,-19,16,6,8,-21,0,74,16,47,2,4,-12,-16,18,30,26,11,2,8,-3,14,1,5,24,9,14
090800_3..S01R::1404532800.0,-19,6,-6,-11,-5,14,8,15,11,0,5,3,-21,-9,22,-12,66,166,-14,1,19,12,-2,22,9,9,13,4,3,-16,17,0,3,8
092000_3..S01R::1404532800.0,4,4,16,7,1,18,0,-2,-19,0,-11,8,-28,12,-10,13,23,4,-12,8,7,-1,7,3,15,12,14,-15,10,-7,-1,6,-5,3
093200_3..S01R::1404532800.0,16,-36,30,10,13,14,-3,4,-19,0,20,6,15,46,24,-7,48,19,19,23,-13,20,22,13,-21,14,25,-12,8,11,16,-5,15,2
094400_3..S01R::1404532800.0,22,9,11,5,26,35,24,11,101,13,1,8,-1,21,61,1,62,20,36,22,21,11,13,32,8,-8,27,-3,12,22,10,12,19,6
095600_3..S01R::1404532800.0,,,-38,8,24,-2,11,5,-19,,,24,,22,28,-14,,29,59,,14,6,31,24,1,,16,-7,15,,95,98,,10
096800_3..S01R::1404532800.0,2,3,13,-3,44,-7,13,16,-19,13,-43,-1,3,6,-27,-5,66,34,-6,-5,-9,21,58,18,13,18,-5,7,22,-8,8,30,-3,8
098000_3..S01R::1404532800.0,12,-3,11,8,4,-1,8,2,11,-1,6,14,-13,2,51,-5,59,-1,-6,-5,-52,9,1,17,16,13,10,3,-1,-37,-9,-2,3,-1
099200_3..S01R::1404532800.0,-3,30,56,24,21,35,63,16,11,27,8,-3,2,42,40,32,61,14,2,4,12,-32,37,25,2,11,42,-4,7,9,16,-14,5,-6
100400_3..S01R::1404532800.0,-11,6,4,-7,26,0,1,12,-19,3,7,4,3,42,48,9,48,29,-19,12,11,-9,16,9,6,-14,12,-11,17,-5,7,14,7,16
101600_3..S01R::1404532800.0,,6,12,17,1,21,3,14,11,21,,-4,-5,26,3,6,,18,13,1,-23,12,23,27,0,-26,-5,7,18,,0,2,,9
102800_3..S01R::1404532800.0,,,,1,29,14,-5,24,11,,,12,,24,12,8,,28,7,,8,-4,17,17,3,,0,-6,18,,1,6,,-14
104000_3..S01R::1404532800.0,,,,,11,-4,9,10,11,,,,,3,21,7,,,26,,-11,-159,19,,13,,25,,,,-6,14,,
095600_3..S::1404532800.0,,,881,,,,,,,,,,11,,,,64,,,,,,,,,,,,,17,,,,
105200_3..S01R::1404532800.0,,,,,,14,22,7,11,,,,,6,24,-1,,,,,-9,,,,14,,5,,,,-16,,,
106400_3..S01R::1404532800.0,,,,,,,,6,11,,,,,,,-1,,,,,-4,,,,16,,-98,,,,-14,,,
107700_3..S01R::1404532800.0,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,
108850_3..S01R::1404532800.0,,,,,,,,,-799,,,,,,,,,,,,,,,,,,,,,,,,,
110050_3..S01R::1404532800.0,,,,,,,,,-1519,,,,,,,,,,,,,,,,,,,,,,,,,
128050_3..S01R::1404532800.0,-13,,,,,,,,,,9,,,,,,54,,,9,,,,,,22,,,,-9,,,6,
129250_3..S01R::1404532800.0,-6,6,1,,,,,,,8,10,,-87,,,,57,,,-6,,,,,,5,,,,13,,,21,-3
130450_3..S01R::1404532800.0,19,10,21,5,,,,,,14,246,12,-79,,,,56,-25,,-12,,,,25,,1,,5,0,9,,,17,1
131650_3..S01R::1404532800.0,16,-25,5,18,6,,,,,9,26,11,-69,-9,,,65,-5,22,1,,-2,10,41,,24,,2,-7,21,,21,18,-9
133150_3..S01R::1404532800.0,,5,1,-28,23,18,16,,,2,-9,-14,2,-2,38,,64,39,-4,-6,,-5,1,11,-6,-23,-10,-13,17,9,,27,14,-21
134850_3..S01R::1404532800.0,5,-3,38,1,14,-28,11,-7,-19,-3,1,4,207,14,21,-14,47,-26,-5,-4,-7,1,2,26,-11,8,13,1,-7,-13,31,2,-7,15
136550_3..S01R::1404532800.0,7,-8,27,-10,4,-2,10,-66,-19,-9,-4,6,-14,-18,28,-11,14,362,-7,-10,-55,8,23,6,-6,-2,8,2,-10,-3,10,-32,2,-5
140300_3..S42R::1404532800.0,,,,,,,-196,14,-19,,,,,,49,-12,,,,,-6,,,,-8,,14,,,,11,,,
000300_3..S42R::1404619200.0,,,,,,,-221,-16,11,,,,,,17,-16,,,,,18,,,,2,,-51,,,,-6,,,
002300_3..S42R::1404619200.0,,,,,,,-214,11,41,,,,,,40,7,,,,,10,,,,5,,-1,,,,-4,,,
138450_3..S01R::1404619200.0,-24,-55,20,15,26,-4,17,16,-19,-5,21,-3,16,25,10,-3,62,3,12,-26,-11,16,12,39,8,14,34,0,20,-37,3,2,-2,15
142700_3..S42R::1404619200.0,,,,,,,-242,-2,-19,,,,,,35,-11,,,,,46,,,,8,,4,,,,34,,,
004300_3..S42R::1404619200.0,,,,,,,-224,17,11,,,,,,-2,8,,,,,4,,,,26,,23,,,,7,,,
006300_3..S42R::1404619200.0,,,,,,,10,-9,11,,,,,,4,-14,,,,,-54,,,,13,,13,,,,0,,,
008300_3..S42R::1404619200.0,,,,,,,-212,4,71,,,,,,22,1,,,,,-78,,,,-1,,1,,,,-15,,,
010300_3..S42R::1404619200.0,,,,,,,-206,-4,-19,,,,,,35,20,,,,,-20,,,,9,,4,,,,-3,,,
012300_3..S42R::1404619200.0,,,,,,,-206,22,11,,,,,,22,-7,,,,,-2,,,,21,,6,,,,-4,,,
014300_3..S42R::1404619200.0,,,,,,,-199,-8,11,,,,,,5,20,,,,,-18,,,,16,,31,,,,-8,,,
016300_3..S42R::1404619200.0,,,,,,,-317,7,11,,,,,,40,16,,,,,-17,,,,4,,-6,,,,-4,,,
018300_3..S42R::1404619200.0,,,,,,,-196,2,-19,,,,,,42,-8,,,,,1,,,,0,,-17,,,,-19,,,
020300_3..S42R::1404619200.0,,,,,,,-195,19,-19,,,,,,4,6,,,,,5,,,,182,,11,,,,-20,,,
022300_3..S42R::1404619200.0,,,,,,,-207,-6,-19,,,,,,25,20,,,,,9,,,,7,,5,,,,-24,,,
024300_3..S42R::1404619200.0,,,,,,,-183,19,-19,,,,,,23,6,,,,,-28,,,,21,,9,,,,-17,,,
026300_3..S42R::1404619200.0,,,,,,,-196,-8,-19,,,,,,36,-4,,,,,-24,,,,-20,,-19,,,,0,,,
028300_3..S42R::1404619200.0,,,,,,,-202,9,11,,,,,,31,9,,,,,-14,,,,-12,,4,,,,-17,,,
030300_3..S42R::1404619200.0,,,,,,,-208,14,11,,,,,,14,12,,,,,-17,,,,10,,2,,,,-3,,,
032300_3..S42R::1404619200.0,,,,,,,-153,-33,-49,,,,,,19,1,,,,,-19,,,,10,,4,,,,6,,,
034300_3..S42R::1404619200.0,,,,,,,-63,-8,11,,,,,,24,-9,,,,,-2,,,,-3,,-3,,,,0,,,
036200_3..S42R::1404619200.0,,,,,,,17,-6,-19,,,,,,22,16,,,,,12,,,,5,,2,,,,19,,,
038500_3..S42R::1404619200.0,,,,,,,0,5,-19,,,,,,15,1,,,,,3,,,,-35,,2,,,,-4,,,
040400_3..S42R::1404619200.0,,,,,,,9,-11,-19,,,,,,29,-13,,,,,-9,,,,-8,,15,,,,-24,,,
042650_3..S42R::1404619200.0,,,,,,,18,-2,-19,,,,,,30,16,,,,,12,,,,8,,-6,,,,35,,,
045000_3..S42R::1404619200.0,,,,,,,42,13,41,,,,,,40,8,,,,,-17,,,,8,,16,,,,-8,,,
046200_3..S01R::1404619200.0,124,2,-33,9,-6,-5,-15,-1,-49,-4,3,-64,-67,-1,70,0,39,19,-11,-19,-19,3,13,8,-16,-28,-18,5,7,-4,6,10,-28,-19
047200_3..S42R::1404619200.0,,,,,,,6,-3,11,,,,,,22,12,,,,,8,,,,2,,16,,,,-8,,,
047600_3..S01R::1404619200.0,-12,2,-28,-13,14,-12,35,-15,11,-1,6,1,-32,5,25,11,39,-1,-4,10,-16,9,5,-4,10,-10,12,-19,9,2,-2,1,11,-19
048800_3..S01R::1404619200.0,-6,-4,18,-4,13,2,41,-6,-19,2,-13,-7,-39,14,14,-8,60,20,-41,10,0,-1,9,-6,-5,-7,20,5,-4,2,9,-17,14,-5
049900_3..S01R::1404619200.0,-12,-1,47,-4,-1,29,17,-34,41,0,8,6,-39,25,18,-47,38,-2,14,16,-7,-9,31,4,20,-10,-46,-15,10,-1,17,24,9,6
051100_3..S01R::1404619200.0,-5,-8,71,13,5,9,12,-9,11,-33,-12,-64,-7,14,14,12,54,7,24,-16,-18,17,16,14,8,-7,-58,2,3,4,65,4,11,-2
052350_3..S01R::1404619200.0,-5,7,26,-5,28,4,13,-8,-19,8,10,6,-26,-4,21,11,61,0,7,17,1,-13,21,9,-8,-3,28,-4,-9,9,-4,11,19,-10
053550_3..S01R::1404619200.0,-17,14,11,11,-11,6,13,-11,-19,10,8,12,-57,-7,20,-13,53,153,8,1,11,-22,-3,5,5,9,17,-6,-9,-8,-1,-4,2,-10
054750_3..S01R::1404619200.0,3,-5,1,-14,11,-8,20,15,11,-11,-6,11,-46,5,-33,10,18,12,6,5,-16,19,20,26,11,-15,-5,5,-3,-6,9,16,-3,-5
055950_3..S01R::1404619200.0,-9,7,15,18,3,5,5,9,11,7,-17,14,-54,-11,44,0,56,19,-13,-67,-26,-15,-3,2,-8,-1,73,-11,-52,5,-4,-3,10,-11
057150_3..S01R::1404619200.0,4,10,8,-35,14,9,18,9,11,-23,0,17,-50,6,67,7,61,17,5,-5,9,-33,18,-2,8,3,6,-14,11,-19,-8,15,-7,-16
058350_3..S01R::1404619200.0,0,-8,22,-9,-25,20,14,6,-19,-1,-8,-34,-43,25,37,-3,31,23,19,-5,-1,22,21,10,-9,7,-4,-49,9,13,0,18,-9,6
059550_3..S01R::1404619200.0,3,10,14,-11,15,-20,3,-1,11,7,-9,-5,-52,18,53,-4,19,51,-36,-5,-1,16,-15,19,-8,8,30,3,-1,16,11,14,-4,-2
060750_3..S01R::1404619200.0,-16,-10,6,-3,-6,21,-2,-2,101,14,-16,-15,-31,2,51,0,34,114,-8,2,-23,-13,-3,17,-18,-3,-24,2,2,-20,9,7,0,10
061950_3..S01R::1404619200.0,-18,2,3,-3,8,-9,27,-4,-19,2,6,-13,-65,32,26,-5,39,17,2,1,4,-14,10,-19,7,-12,50,-27,4,2,-53,4,12,12
063150_3..S01R::1404619200.0,-9,15,10,8,11,1,27,6,11,16,10,14,-54,6,5,-6,48,1,20,-1,24,15,24,-1,7,3,6,7,1,11,15,16,22,0
064350_3..S01R::1404619200.0,-14,15,19,-3,3,4,-1,1,-19,16,5,6,-58,-18,8,-15,62,2,-2,-12,-12,-5,4,-14,-13,3,25,6,1,11,-6,-2,12,1
065550_3..S01R::1404619200.0,9,-22,8,-6,19,9,8,-10,-49,2,4,-3,-50,1,26,-46,53,26,7,-19,-1,-9,5,13,2,-3,86,6,8,-100,3,9,-5,-17
066750_3..S01R::1404619200.0,-8,0,18,6,-3,8,10,6,-19,-4,11,-14,-62,17,80,1,42,14,17,2,4,0,12,21,16,-12,17,4,-3,-1,-17,13,11,-1
067950_3..S01R::1404619200.0,10,10,-2,-10,-21,0,0,13,-19,9,-1,24,-49,9,10,4,64,7,-3,4,8,30,25,11,-2,14,15,-10,16,-6,-4,17,3,16
069150_3..S01R::1404619200.0,-9,-8,12,12,0,-23,28,3,11,-10,14,-6,-40,12,32,-3,70,9,-9,-58,-3,1,22,12,-9,-8,13,-4,-5,3,-12,18,12,-3
070350_3..S01R::1404619200.0,8,-17,28,15,32,5,26,10,-19,10,-1,-15,-50,1,24,1,44,39,7,11,-27,14,54,-22,-3,-24,20,22,1,12,-2,-2,-4,3
071550_3..S01R::1404619200.0,10,-2,2,15,2,4,15,5,11,-1,-8,-8,-67,12,11,2,51,13,18,3,7,107,5,15,4,13,-7,-1,-10,-7,-4,7,0,17
072750_3..S01R::1404619200.0,-17,2,3,10,-6,20,15,10,-19,-5,6,-1,-57,17,19,4,46,20,35,4,7,16,18,-14,9,12,16,8,3,-10,6,5,-1,7
073950_3..S01R::1404619200.0,-10,-14,24,-5,10,-20,4,28,11,13,11,8,-45,22,-14,12,40,32,1,-32,13,-8,17,4,7,14,30,-18,10,17,-9,8,10,11
075150_3..S01R::1404619200.0,-3,-9,9,9,7,17,22,7,-19,19,17,-13,-47,-2,33,-2,50,6,20,-14,13,11,17,4,8,3,6,-15,-30,-19,-7,16,-29,2
