,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
081350_3..S01R::1404705600.0,-1,6,-17,3,-4,5,5,5,-19,14,23,2,-86,-12,48,8,67,6,-10,-8,-17,-3,11,85,10,7,51,-7,-10,7,-5,-7,-13,-8
082150_3..S01R::1404705600.0,-1,-10,-13,-1,14,-4,-3,2,-19,25,109,19,-81,0,48,-3,81,1,23,-12,-10,7,-4,2,12,2,89,-10,0,6,-17,24,-10,-10
082950_3..S01R::1404705600.0,23,-6,-14,21,35,8,42,4,-19,7,131,14,-105,16,-8,10,60,12,10,-7,10,-9,4,7,6,5,60,-12,9,5,-4,3,13,-1
083750_3..S01R::1404705600.0,21,7,-14,10,11,25,-26,-7,281,12,-1,12,-63,-4,19,13,43,-5,22,25,-23,5,19,12,-38,-5,23,19,7,-4,48,8,23,-2
084550_3..S01R::1404705600.0,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,
085350_3..S01R::1404705600.0,-6,13,3,3,2,21,3,14,-229,14,47,32,-84,2,-6,4,63,8,16,15,5,-7,57,21,1,-4,0,1,-4,7,21,-26,-16,-8
086150_3..S01R::1404705600.0,-12,-5,15,6,4,18,33,5,11,0,11,10,50,23,14,31,55,9,19,9,2,-2,-23,7,-4,16,16,11,2,-4,-13,27,7,-29
086950_3..S01R::1404705600.0,-1,-4,21,-7,12,2,1,0,-19,-1,15,-1,-73,41,-19,-11,122,47,-2,9,-14,28,150,-10,10,17,10,-39,11,-9,10,9,-6,6
087750_3..S01R::1404705600.0,-10,-15,17,9,21,19,24,17,-49,12,9,14,39,-7,29,8,69,31,10,5,7,12,162,11,5,17,23,-6,18,-1,4,-3,10,5
085600_3..S01R::1404705600.0,-8,6,33,34,7,12,-7,7,-139,-4,12,7,62,-10,15,-1,42,-7,0,2,4,-10,12,-10,1,7,-3,9,-7,-10,4,1,7,25
088550_3..S01R::1404705600.0,17,14,11,8,5,6,25,-2,-19,43,446,17,65,-15,29,-9,56,7,18,-23,24,2,92,12,14,-12,5,-7,-10,-5,11,4,5,-10
089500_3..S01R::1404705600.0,27,24,105,7,-7,8,4,11,-49,-4,322,32,-140,-4,36,-2,40,32,12,2,15,14,22,3,16,2,15,-18,7,-2,7,2,1,-35
090400_3..S01R::1404705600.0,172,13,-1,8,55,32,13,9,-79,17,-18,13,-117,16,36,-38,52,4,37,3,-5,9,96,19,17,15,2,-6,13,-15,8,40,19,13
091200_3..S01R::1404705600.0,18,8,31,-6,6,28,7,-1,41,19,93,-7,-5,-4,15,24,71,38,20,-5,14,-3,77,21,6,-19,20,0,19,5,-34,12,-20,8
091800_3..S01R::1404705600.0,9,-3,-15,-15,22,29,10,-2,-19,-6,-1,-7,55,-8,56,23,63,-5,40,-23,8,-16,54,6,5,13,20,-9,-7,-11,-9,18,-1,-9
088500_3..S01R::1404705600.0,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
092200_3..S01R::1404705600.0,-1,11,10,2,17,-27,56,13,11,13,17,-3,-104,7,1,6,35,12,19,4,5,-8,112,5,0,11,2,8,-1,-9,4,26,-2,0
092750_3..S01R::1404705600.0,-89,-6,23,5,11,0,20,12,11,2,95,4,-21,2,25,2,62,136,3,22,28,5,3,25,21,23,9,-2,18,-94,-46,4,18,11
093600_3..S01R::1404705600.0,4,-7,-35,24,-4,11,6,7,71,-38,14,24,-48,8,35,-2,45,33,-3,2,-37,7,172,25,21,4,-2,17,2,3,-78,18,3,22
094400_3..S01R::1404705600.0,-3,8,42,9,9,-5,-3,-3,101,7,75,13,7,1,50,-5,48,25,4,-4,-3,-1,72,17,-7,2,0,-6,-74,8,-201,-26,-11,-21
095300_3..S01R::1404705600.0,10,12,41,6,6,8,10,-6,-19,14,-13,17,-109,-8,79,-8,63,9,-3,6,-8,-27,124,16,-7,-13,-9,-3,-8,-5,-22,39,4,-10
096100_3..S01R::1404705600.0,-4,6,88,-2,1,13,-23,-14,11,-26,11,6,-30,8,106,13,46,40,23,11,-16,-1,2,7,-12,10,12,14,1,14,-29,35,22,2
096800_3..S01R::1404705600.0,13,-2,1,21,5,18,-8,16,-19,3,124,-9,76,-3,118,-2,66,217,-4,-4,0,-12,71,12,-23,7,5,-9,-12,15,-6,35,22,14
097500_3..S01R::1404705600.0,,,,,,-23,7,12,131,,,,,12,-6,24,,,,,-17,,-16,,13,,25,,,,-2,,,
098200_3..S01R::1404705600.0,,,,,,,9,3,11,,,,,,-61,12,,,,,22,,,,6,,-10,,,,1,,,
098900_3..S01R::1404705600.0,,,,,,22,19,-17,11,,,,,10,22,11,,,,,-6,,138,,-38,,-15,,,,-3,,,
099500_3..S01R::1404705600.0,,-4,35,27,19,13,170,-9,11,-3,,15,-23,3,75,-11,,52,29,,-10,2,25,42,-8,,-5,-1,22,,0,15,,-15
100100_3..S01R::1404705600.0,-3,51,-17,-12,-3,33,-5,-14,-19,-12,267,-5,6,13,386,10,51,17,13,10,11,14,38,0,4,28,11,9,-29,16,-2,-7,-12,4
100700_3..S01R::1404705600.0,274,-3,34,-4,48,40,448,0,11,-1,96,-14,16,16,134,-12,48,55,38,21,8,-1,28,22,-7,-12,-6,-4,-12,-6,71,25,1,15
101350_3..S01R::1404705600.0,,,,,,,,,3611,,,,,,,,,,,,,,,,,,,,,,,,,
102050_3..S01R::1404705600.0,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,
102750_3..S01R::1404705600.0,134,10,20,4,15,31,16,15,11,23,66,6,33,1,29,7,56,45,26,-3,0,10,19,11,193,6,0,-13,4,-22,0,32,88,3
103450_3..S01R::1404705600.0,,,,,,,,,5951,,,,,,,,,,,,,,,,,,,,,,,,,
104150_3..S01R::1404705600.0,,,,,,,,,5531,,,,,,,,,,,,,,,,,,,,,,,,,
101750_3..S01R::1404705600.0,73,10,53,5,24,33,5,1,-49,5,118,17,6,24,206,1,70,36,-3,2,15,-6,17,-14,8,9,89,-3,-11,-14,-7,5,386,51
104900_3..S01R::1404705600.0,,,,,,,,,-619,,,,,,,,,,,,,,,,,,,,,,,,,
103750_3..S01R::1404705600.0,-6,14,20,19,18,30,50,21,11,25,11,13,21,26,57,38,64,55,23,-21,-23,4,26,7,16,12,24,8,21,-1,16,3,25,8
105700_3..S01R::1404705600.0,1,16,27,0,31,4,15,-3,-49,25,11,11,56,15,51,-25,59,-8,25,1,-8,20,41,27,9,-23,-2,22,23,2,43,27,-2,24
106500_3..S01R::1404705600.0,-15,6,17,4,22,0,-5,-2,-259,10,103,10,-7,4,160,-2,41,42,6,-20,2,4,190,10,0,-10,2,11,2,13,-11,-26,-13,-1
104750_3..S01R::1404705600.0,6,18,198,-5,31,24,9,13,41,23,23,10,31,11,-10,18,25,24,32,9,32,2,-17,13,12,7,-12,6,12,4,26,8,0,22
107300_3..S01R::1404705600.0,7,6,32,18,8,9,16,14,-19,9,322,-11,29,13,36,-5,68,12,12,-94,14,13,47,12,-3,19,3,-8,13,-7,3,5,-1,24
108100_3..S01R::1404705600.0,6,7,11,10,2,-16,-15,7,-49,16,230,-7,31,14,123,21,33,34,-8,-5,0,12,3,2,-3,27,4,5,-3,-9,25,0,3,-9
108900_3..S01R::1404705600.0,4,-10,10,16,9,18,13,24,71,22,364,19,73,36,80,12,40,29,27,-1,13,35,40,22,7,3,-2,11,25,-27,5,17,0,7
109700_3..S01R::1404705600.0,408,11,26,-15,-27,29,1,22,191,11,4,-3,11,-89,13,10,37,19,-3,-32,-18,15,6,0,10,-12,18,-13,13,-5,6,8,9,12
099500_3..S::1404705600.0,39,,,,,,,,,,85,,1241,,,,53,,,43,,,,,,,,,,4,,,,
110500_3..S01R::1404705600.0,9,11,23,7,17,14,30,12,-49,-16,174,5,26,12,50,6,53,28,28,12,-8,5,20,20,17,7,6,-4,13,8,-13,16,44,5
111300_3..S01R::1404705600.0,2,-7,18,19,26,30,25,-2,-139,-1,46,-10,11,37,147,15,70,6,40,2,7,-4,11,22,-1,-4,23,9,22,-5,17,29,1,15
112100_3..S01R::1404705600.0,20,-6,16,12,-23,28,11,-14,11,2,0,14,37,23,25,6,63,35,11,14,-9,14,36,25,-17,22,-1,-13,9,8,-30,-7,14,3
112900_3..S01R::1404705600.0,8,2,14,9,2,0,9,8,131,-30,210,-8,-4,3,19,1,63,14,11,-23,0,8,25,18,-4,15,32,2,-5,-9,-5,40,-1,-10
113700_3..S01R::1404705600.0,13,9,9,20,27,26,-1,-8,131,12,0,0,3,13,28,17,55,48,34,26,13,1,48,15,4,14,17,19,-24,12,8,13,10,3
114500_3..S01R::1404705600.0,3,9,0,-7,-4,13,11,10,71,9,-12,-10,29,39,57,3,52,5,-4,-33,-21,-118,24,28,8,7,17,2,-6,-16,-13,40,-26,-7
115300_3..S01R::1404705600.0,7,-17,22,23,7,12,9,-33,-49,23,51,-4,48,-20,49,-17,54,37,-11,3,-4,-7,33,5,18,7,-1,10,-2,5,55,11,6,-6
116100_3..S01R::1404705600.0,18,3,2,-1,2,13,10,18,131,10,4,-34,70,-12,31,1,30,15,14,19,-6,9,26,6,11,18,-5,14,2,16,76,31,16,-8
116900_3..S01R::1404705600.0,-4,2,24,-11,15,10,17,7,101,6,-16,-56,-1,17,24,0,69,12,7,-11,-2,-10,3,4,-45,-12,-35,8,2,-7,14,-7,-5,1
117700_3..S01R::1404705600.0,88,-17,31,-13,27,19,22,7,131,9,108,16,13,6,19,3,64,20,12,20,-3,-11,23,18,-39,-3,-3,-8,11,2,-13,-22,-14,11
118500_3..S01R::1404705600.0,59,-13,21,6,-16,17,-6,-35,11,12,3,-10,17,2,86,1,59,43,6,0,-22,0,52,18,10,-12,36,-3,-5,-4,13,3,-15,-4
119200_3..S01R::1404705600.0,0,9,12,-5,8,-3,10,-18,41,8,49,2,3,1,3,8,43,30,-5,7,9,-5,19,6,8,-10,-9,14,3,-1,1,6,9,-5
120100_3..S01R::1404705600.0,51,-3,15,2,6,0,3,15,-19,0,105,10,33,3,90,11,54,1,-7,-34,-14,-1,6,20,15,12,-19,4,-1,-20,7,2,14,-1
121000_3..S01R::1404705600.0,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,
122000_3..S01R::1404705600.0,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,
123000_3..S01R::1404705600.0,26,-21,17,-6,-19,-6,3,-6,11,30,154,-2,27,3,44,-12,47,15,14,18,-8,-8,21,10,-15,-7,10,6,15,-7,-8,4,22,9
124000_3..S01R::1404705600.0,6,18,28,2,6,11,3,16,-19,22,17,3,10,19,35,7,72,26,16,18,-5,20,25,22,19,13,26,-3,16,10,14,48,11,10
121500_3..S01R::1404705600.0,-2,-15,38,25,22,15,8,-2,11,13,74,-3,20,-4,43,24,34,19,12,14,-13,-10,109,15,-12,23,9,-41,-6,-7,-28,17,-3,-36
125000_3..S01R::1404705600.0,-9,3,6,-3,20,9,10,-9,-19,2,12,-4,-4,21,15,-9,71,24,9,-2,-36,-5,74,10,-16,14,5,-10,16,-6,17,16,9,9
126000_3..S01R::1404705600.0,17,-56,26,18,32,16,15,-2,11,8,0,12,-15,45,45,16,54,30,33,8,10,19,41,15,-4,19,6,5,17,17,-35,18,15,6
127200_3..S01R::1404705600.0,6,4,13,9,12,31,-35,-16,-19,12,14,-35,11,10,7,11,50,35,-5,-15,-13,-7,22,10,22,-7,5,-42,7,-5,7,46,3,36
128400_3..S01R::1404705600.0,11,-9,19,23,3,7,21,23,-49,28,2,-7,14,7,39,4,55,15,-22,17,6,0,26,22,0,-3,30,-5,14,3,7,18,4,8
129600_3..S01R::1404705600.0,-7,6,12,-5,13,12,23,16,-19,5,7,0,2,-98,24,11,64,-2,1,-4,15,-9,86,5,8,6,1,-9,13,14,5,7,17,9
130800_3..S01R::1404705600.0,14,18,24,-17,26,15,22,-35,11,23,-1,-11,7,24,34,-16,67,58,-19,16,11,15,14,24,2,11,0,2,-36,12,106,0,11,-8
132050_3..S01R::1404705600.0,9,-8,13,-9,4,16,0,-16,41,-8,-2,13,12,29,29,11,50,25,-3,5,4,-4,6,-1,-3,-8,18,13,5,-2,10,3,-2,-2
133350_3..S01R::1404705600.0,-7,5,2,-13,9,-9,29,19,41,4,11,-7,-4,30,1,7,59,14,2,-5,13,15,1,-6,4,-25,7,10,2,13,-3,2,16,2
134650_3..S01R::1404705600.0,3,9,-57,7,2,16,-8,-3,-19,9,-10,67,7,-1,90,-9,42,11,-7,-13,-2,10,66,6,-2,3,-4,-8,12,13,-17,30,-8,-13
135850_3..S01R::1404705600.0,10,3,16,-31,13,14,28,0,-19,3,1,2,-3,-3,67,-5,46,-3,5,14,-1,12,58,6,-6,-1,-4,-11,8,1,-15,9,8,8
137050_3..S01R::1404705600.0,,0,12,1,5,4,-75,0,-19,-48,,23,12,-10,24,-2,,-17,10,-14,-9,7,30,39,12,,-1,,-116,,107,21,,1
138250_3..S01R::1404705600.0,,,37,9,7,8,-146,-6,161,-27,,,,1,60,17,,28,-12,,14,11,56,19,0,,20,-5,-10,,8,9,,35
140250_3..S42R::1404705600.0,,,,,,,-248,10,-19,,,,,,-86,3,,,,,0,,,,10,,3,,,,-7,,,
142650_3..S42R::1404705600.0,,,,,,,,17,-79,,,,,,,-59,,,,,,,,,3,,-77,,,,39,,,
000250_3..S42R::1404792000.0,,,,,,,-274,-7,-19,,,,,,24,-13,,,,,-2,,,,-4,,46,,,,6,,,
137050_3..S01R::1404792000.0,18,,,,,,,,,,4,,,,,,49,,,,,,,,,13,,,,17,,,16,
138250_3..S01R::1404792000.0,1,4,,,,,,,,,79,,24,,,,49,,,20,,,,,,-7,,,,-1,,,-3,
142650_3..S42R::1404792000.0,,,,,,,-262,,,,,,,,13,,,,,,,,,,,,10,,,,,,,
030250_3..S01R::1404792000.0,,,,,34,18,1,-13,341,,,,,-7,13,13,,,13,,-18,,47,,10,,49,,,,11,18,,
031300_3..S42R::1404792000.0,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,
031750_3..S01R::1404792000.0,0,0,25,6,22,-4,-4,-1,191,-7,-8,0,-3,-16,13,-6,64,33,10,8,1,13,-17,-10,-2,-6,-7,8,7,5,6,12,-11,1
033150_3..S01R::1404792000.0,-33,-19,-44,-3,17,-21,7,12,251,9,-5,-18,-48,13,14,2,57,6,-1,-13,6,-4,29,24,2,5,14,5,2,-95,19,17,-8,5
033550_3..S42R::1404792000.0,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
034750_3..S01R::1404792000.0,-7,1,-10,-9,7,10,-4,-13,101,-2,-12,6,33,8,15,-15,57,0,-4,12,-6,12,11,8,-5,-6,-4,-7,-7,5,-22,2,-15,-4
035900_3..S01R::1404792000.0,-7,-6,16,-19,6,16,2,-10,-49,-18,196,-5,-91,0,96,-11,11,82,1,-9,16,-6,75,15,10,10,2,3,6,-7,4,14,10,-15
036900_3..S01R::1404792000.0,-6,4,3,-4,20,18,-2,18,11,3,130,7,-2,-6,11,1,60,28,2,-2,-2,-6,18,11,14,11,11,-3,18,16,4,13,-14,14
037900_3..S01R::1404792000.0,-9,18,-15,11,21,0,-25,-5,101,-11,13,9,7,-2,10,-14,42,-2,9,-1,-12,6,13,11,11,4,17,-10,13,10,12,-4,13,13
030250_3..S::1404792000.0,-20,10,-6,-10,,,,,,5,4,,40,,,,70,-2,911,-11,,,,17,,5,,3,-35,-14,,,2,-4
038900_3..S01R::1404792000.0,-7,-6,-2,4,10,15,3,3,41,-12,-14,-16,-7,11,42,-36,61,-19,25,-19,4,-5,23,21,-9,-3,11,3,4,2,-8,15,11,5
040150_3..S01R::1404792000.0,8,7,67,14,-1,20,6,18,11,4,27,-4,-26,-4,34,11,59,88,23,-6,3,5,93,18,-6,4,29,5,3,-98,2,14,-35,7
040900_3..S01R::1404792000.0,17,20,12,-2,-7,21,15,-12,-19,-9,93,12,7,-4,31,-19,55,23,15,7,-13,-11,58,20,11,-6,13,3,-2,-1,26,24,12,-2
041500_3..S01R::1404792000.0,-2,7,54,4,17,16,7,-12,-49,20,-11,-15,0,26,-1,13,-3,25,1,3,8,-3,34,-8,7,4,16,6,6,-17,-11,9,-11,10
042100_3..S01R::1404792000.0,-3,-9,15,-4,3,-9,22,-2,11,-11,-16,-80,50,3,1,-73,59,37,14,9,1,-12,75,23,0,-19,61,6,-1,10,5,7,,-3
043000_3..S01R::1404792000.0,-7,-4,20,3,6,1,2,-12,-19,-6,-13,15,-35,-3,58,-11,52,19,21,-1,-10,3,68,-9,18,-15,23,7,4,-2,15,-82,10,-11
043600_3..S01R::1404792000.0,12,7,166,15,-5,-20,-2,5,-19,-22,2,-4,3,1,91,-8,75,21,15,-10,-2,6,40,-6,-6,-1,84,-18,12,9,-4,7,12,13
044200_3..S01R::1404792000.0,-8,-8,8,9,27,17,24,3,71,-9,12,-62,13,2,75,-7,71,5,35,3,-6,14,33,16,15,12,-6,-33,-5,-12,17,7,-6,-35
044800_3..S01R::1404792000.0,0,17,26,-16,-1,25,39,6,-49,17,-9,-8,5,20,56,-1,62,35,8,-5,20,16,31,16,8,6,68,-2,-10,12,11,9,-9,19
045400_3..S01R::1404792000.0,1,9,18,-3,-20,29,11,-56,41,2,15,5,5,46,62,-87,41,-7,13,-16,7,12,31,-5,0,-2,3,5,4,-20,0,21,-8,5
046000_3..S01R::1404792000.0,3,-2,-44,-6,25,28,1,6,-49,3,-9,-6,17,28,69,15,52,34,29,-1,6,-9,97,19,22,15,20,3,-3,-12,5,20,-5,-2
046600_3..S01R::1404792000.0,8,-7,30,137,16,-2,18,-3,11,-7,-2,-11,22,-34,126,16,2,17,6,-4,14,13,114,17,9,12,-6,-11,13,-13,13,10,0,12
047400_3..S03R::1404792000.0,5,8,32,-10,32,13,27,4,,5,-6,-16,62,19,160,-16,-78,58,7,-4,19,30,77,8,2,7,51,-7,-10,-15,-139,8,-7,-11
047800_3..S01R::1404792000.0,14,-57,145,-10,19,28,33,9,-49,-32,2,-1,18,25,51,-4,46,13,-11,-7,-10,12,39,13,12,13,23,13,0,-90,73,25,4,89
048300_3..S01R::1404792000.0,-4,-10,116,14,15,-4,-2,10,-109,16,-10,-5,77,-4,69,-3,48,80,30,7,11,8,44,10,6,-6,19,-3,-3,6,-8,32,16,14
048750_3..S01R::1404792000.0,3,-2,16,12,24,17,39,14,71,-1,-43,-17,-105,7,57,13,45,37,33,9,3,12,31,13,25,18,88,-3,-7,-8,-10,10,-4,22
049150_3..S01R::1404792000.0,-13,-9,16,0,19,25,18,16,11,18,6,-26,40,20,18,-13,51,-35,36,-5,2,-4,13,17,-8,-17,24,,8,-6,99,27,-25,151
049800_3..S03R::1404792000.0,-1,-5,23,-55,4,24,29,21,,-7,-12,-14,-13,12,31,-11,71,3,33,-38,17,-7,30,-9,4,11,37,8,55,-8,101,32,2,32
049800_3..S01R::1404792000.0,-2,24,30,28,14,19,6,25,131,-34,-13,5,11,21,30,9,63,16,0,19,5,28,-3,26,21,-3,41,-11,15,4,13,27,-13,14
050550_3..S01R::1404792000.0,-22,25,4,13,54,24,18,21,-19,-4,178,17,13,25,53,10,146,57,1,0,-16,-13,15,12,11,-10,24,1,-6,6,80,2,-31,24
051150_3..S01R::1404792000.0,70,29,-23,8,19,14,30,16,101,5,-7,5,-106,16,27,5,42,7,21,22,0,13,-16,-15,18,50,17,-32,8,59,-28,16,64,56
051750_3..S01R::1404792000.0,60,-5,23,18,1,34,14,6,-49,-28,12,-27,-54,5,29,-8,59,36,38,60,14,-9,34,20,17,52,34,1,54,-3,122,10,,52
052350_3..S01R::1404792000.0,28,63,-17,11,3,37,35,13,11,15,62,13,14,23,185,5,13,6,17,70,-1,11,95,-4,-9,-19,38,11,2,,4,4,6,13
052950_3..S01R::1404792000.0,,,84,-14,11,3,29,34,11,16,264,3,-135,8,31,-4,63,27,14,-13,-4,8,66,-77,-8,-2,20,12,73,4,146,23,-17,76
053850_3..S01R::1404792000.0,-99,6,115,68,40,33,14,26,-19,-17,259,63,,-5,47,11,61,105,-6,,-8,2,50,36,-10,4,47,-66,,-3,34,16,-11,-3
054650_3..S01R::1404792000.0,222,,-194,-66,77,-7,-1,1,-49,,-12,,-77,1,59,-7,66,26,146,-16,-7,-91,11,7,22,-27,27,9,5,9,-4,12,2,-2
055350_3..S01R::1404792000.0,0,3,27,15,-90,17,22,-6,11,-12,-10,-7,56,-110,28,11,45,12,,12,14,9,175,-76,29,-7,19,,,22,-4,29,-4,16
055950_3..S01R::1404792000.0,11,-3,-22,,30,86,2,0,-19,-6,-4,,-67,83,149,21,58,34,3,-3,10,-27,41,3,2,6,23,12,3,23,-4,25,18,-29
056650_3..S01R::1404792000.0,12,15,-6,-2,-115,34,64,0,41,14,-31,12,-23,,97,-14,38,100,,-12,-11,-13,72,-72,11,-3,-80,11,6,6,-2,-2,20,7
057450_3..S01R::1404792000.0,-19,-3,29,,6,20,-10,-38,11,-7,4,-3,-63,21,96,-81,69,39,20,1,19,-2,-270,-6,72,11,67,-17,10,9,7,5,18,10
058250_3..S01R::1404792000.0,-6,0,-1,0,3,,-3,13,41,-3,216,-16,-213,12,-171,64,70,98,-10,-23,10,-9,72,32,,-20,79,2,3,17,56,,33,7
059050_3..S01R::1404792000.0,2,12,-18,15,11,20,8,33,-79,9,166,-13,54,-10,9,7,51,0,26,19,31,13,98,14,-1,-9,-254,1,-2,19,,25,6,-10
059950_3..S01R::1404792000.0,,,,,,,,,-109,,,,,,,,,,,,-49,,,,-79,,,,,,-79,,,
060500_3..S01R::1404792000.0,-7,-6,-22,-7,10,4,6,8,-289,2,9,-8,-164,-1,16,16,45,8,-10,-6,,-6,27,10,22,7,6,16,9,6,56,11,-15,6
061300_3..S01R::1404792000.0,-2,-1,-7,13,0,14,17,11,161,-7,-20,-14,64,-6,62,-18,43,44,15,-15,-13,17,49,14,-13,2,-7,-5,-5,12,-2,5,8,-1
062100_3..S01R::1404792000.0,-13,-35,-8,5,22,-3,42,-12,-19,7,6,-16,-67,9,11,13,75,365,1,13,9,1,29,-4,0,-11,118,9,8,13,14,10,25,11
062950_3..S01R::1404792000.0,-7,-16,-2,-4,71,0,12,-63,101,12,,37,-78,6,16,15,,7,20,5,-16,-4,12,3,-16,14,-7,-34,1,-9,9,1,35,-32
063750_3..S01R::1404792000.0,,5,2,-2,29,25,20,-61,11,7,,8,-69,0,3,-15,,98,-15,0,-7,-129,11,-63,-12,-14,48,0,22,,12,-3,,18
059900_3..S01R::1404792000.0,18,-10,-8,5,22,15,-126,,,18,-3,-20,-106,17,100,,18,11,10,3,,-2,27,1,,12,15,15,5,36,,14,40,3
064550_3..S01R::1404792000.0,,,1,-1,11,18,19,-1,71,24,,3,,-2,37,-9,,-4,26,,-8,5,17,6,15,,12,12,-1,,21,10,,-5
065350_3..S01R::1404792000.0,,,,-11,22,0,9,7,11,,,-11,,-7,77,-2,,17,10,,2,-11,17,14,-4,,52,-1,-99,,3,16,,
066150_3..S01R::1404792000.0,,,,,20,11,20,-12,101,,,,,16,35,11,,,9,,12,-133,37,,1,,4,,,,-1,1,,
066950_3..S01R::1404792000.0,,,,,,15,-11,-69,41,,,,,-4,51,41,,,,,9,,-4,,2,,-4,,,,10,,,
067750_3..S01R::1404792000.0,,,,,,-50,-6,-62,11,,,,,,5,-13,,,,,-13,,,,10,,34,,,,28,,,
068550_3..S01R::1404792000.0,,,,,,,,16,11,,,,,,,6,,,,,5,,,,-6,,-89,,,,-8,,,
069350_3..S01R::1404792000.0,,,,,,,,-9,-19,,,,,,,-117,,,,,,,,,,,,,,,24,,,
070150_3..S01R::1404792000.0,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,
070950_3..S01R::1404792000.0,,,,,,,,,-649,,,,,,,,,,,,,,,,,,,,,,,,,
071750_3..S01R::1404792000.0,,,,,,,,,-1129,,,,,,,,,,,,,,,,,,,,,,,,,
072550_3..S01R::1404792000.0,,,,,,,,,-1609,,,,,,,,,,,,,,,,,,,,,,,,,
