,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
122050_5..N01X004::1404619200.0,,19,13,16,,,,,,,,,14,,,,-79,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123250_5..N01X004::1404619200.0,,58,-1,13,,,,,,,,,4,,,,-199,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_5..N01X004::1404619200.0,,55,40,20,,,,,,,,,22,,,,-19,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125650_5..N01X004::1404619200.0,,58,-24,27,,,,,,,,,11,,,,71,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126850_5..N01X004::1404619200.0,,70,14,44,,,,,,,,,20,,,,-19,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128050_5..N01X004::1404619200.0,,60,23,24,,,,,,,,,-9,,,,-19,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129250_5..N01X004::1404619200.0,,70,24,21,,,,,,,,,-9,,,,11,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_5..N01X004::1404619200.0,,58,28,19,,,,,,,,,2,,,,41,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131650_5..N01X004::1404619200.0,,46,-17,8,,,,,,,,,23,,,,11,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132850_5..N01X004::1404619200.0,,60,20,17,,,,,,,,,26,,,,-19,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134050_5..N01X004::1404619200.0,,63,8,-9,,,,,,,,,16,,,,-19,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135250_5..N01R::1404619200.0,,41,36,52,,,,,,,,,14,,,,731,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136450_5..N01R::1404619200.0,,61,10,50,,,,,,,,,18,,,,-319,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137650_5..N01R::1404619200.0,,,,-115,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_5..N01R::1404619200.0,,35,1,62,,,,,,,,,20,,,,281,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_5..N01R::1404619200.0,,44,5,1,,,,,,,,,13,,,,281,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141200_5..N01R::1404619200.0,,,,33,,,,,,,,,18,,,,1061,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142500_5..N01R::1404619200.0,,,,,,,,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404619200.0,,,,,,,,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404619200.0,,,,,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404705600.0,,48,23,16,,,,,,,,,24,,,,-199,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404705600.0,,49,25,26,,,,,,,,,-4,,,,-1399,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141200_5..N01R::1404705600.0,,67,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142500_5..N01R::1404705600.0,,,,,,,,,,,,,,,,,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004300_5..N32R::1404705600.0,,61,4,24,,,,,,,,,6,,,,131,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006300_5..N32R::1404705600.0,,51,22,10,,,,,,,,,-7,,,,-19,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008300_5..N32R::1404705600.0,,46,10,30,,,,,,,,,12,,,,41,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010300_5..N32R::1404705600.0,,60,6,-2,,,,,,,,,7,,,,-19,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012300_5..N32R::1404705600.0,,59,29,20,,,,,,,,,2,,,,221,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014300_5..N32R::1404705600.0,,46,-1,37,,,,,,,,,-4,,,,11,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016300_5..N32R::1404705600.0,,43,13,7,,,,,,,,,16,,,,131,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018300_5..N32R::1404705600.0,,60,26,17,,,,,,,,,8,,,,71,,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020300_5..N32R::1404705600.0,,44,12,-1,,,,,,,,,14,,,,41,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022300_5..N32R::1404705600.0,,47,-1,8,,,,,,,,,-10,,,,-19,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024300_5..N32R::1404705600.0,,34,14,29,,,,,,,,,15,,,,41,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026300_5..N32R::1404705600.0,,66,4,-7,,,,,,,,,3,,,,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028300_5..N32R::1404705600.0,,51,15,21,,,,,,,,,13,,,,101,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030300_5..N32R::1404705600.0,,44,20,30,,,,,,,,,22,,,,-19,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032300_5..N32R::1404705600.0,,-140,6,9,,,,,,,,,-14,,,,11,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034300_5..N01R::1404705600.0,,66,27,16,,,,,,,,,2,,,,-49,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034950_5..N60R::1404705600.0,,52,26,27,8,20,2,93,30,,,20,-4,20,5,,23,-31,2,,,-1,-4,-25,7,19,,-11,,,-14,9,,-33,8,,71,,5,,-7,4,,,,2,,,,,,,,,,,,,,,-19,-3,-13,-13,2,14,3,7,7,
036650_5..N71R::1404705600.0,,59,9,24,-8,51,4,-11,11,-16,-19,,11,1,-6,-58,34,9,22,,-4,20,2,30,15,9,-6,-10,92,,9,11,,17,17,6,4,,42,,9,27,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
036300_5..N01R::1404705600.0,,35,-10,-24,,,,,,,,,22,,,,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037850_5..N71R::1404705600.0,,64,19,7,2,28,9,16,16,7,41,,24,1,29,8,27,-13,27,,15,3,-21,20,39,13,21,0,18,,4,18,,4,-9,-2,14,,-3,,10,24,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
038300_5..N01R::1404705600.0,,48,3,20,,,,,,,,,13,,,,161,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034600_5..N01R::1404705600.0,,375,-5,,,,,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039050_5..N71R::1404705600.0,,45,-17,11,15,12,6,2,35,-15,-49,,-28,10,36,21,31,0,13,,-11,10,-8,23,10,16,-3,9,6,,-2,-4,,8,12,9,-3,,3,,-3,8,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
040050_5..N71R::1404705600.0,,49,-5,31,6,-4,-5,-5,10,-10,11,,-2,2,25,24,9,-4,16,,-14,1,-4,15,14,10,-3,-13,7,,-9,8,,1,26,33,-4,,5,,24,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
040300_5..N01R::1404705600.0,,46,11,11,,,,,,,,,22,,,,-19,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040900_5..N71R::1404705600.0,,63,6,13,-6,33,48,25,32,21,71,,42,7,36,-43,47,7,37,,8,31,23,16,53,-1,9,-2,93,,14,1,,-2,24,20,22,,24,,40,38,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
042050_5..N71R::1404705600.0,,64,32,34,-3,12,23,19,49,-3,-19,,10,20,63,22,42,9,24,,21,23,-2,29,48,34,20,11,21,,-1,11,,-32,2,6,34,,32,,34,28,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
042950_5..N71R::1404705600.0,,51,9,36,8,29,28,27,24,2,11,,-18,16,28,-27,40,-9,20,,5,25,8,31,18,32,10,-3,12,,21,11,,11,4,2,21,,9,,15,49,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
043850_5..N71R::1404705600.0,,73,-3,17,27,6,29,16,26,13,41,,4,23,19,16,34,-3,30,,10,13,11,1,42,6,15,5,18,,7,17,,-3,13,9,11,,-13,,25,19,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
044450_5..N71R::1404705600.0,,67,10,43,-4,5,15,45,1,-2,41,,14,12,20,3,50,20,-3,,9,25,7,6,19,10,-12,7,-5,,-8,3,,-2,-3,-13,33,,5,,12,8,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,
045050_5..N71R::1404705600.0,,61,28,10,-6,24,21,26,46,-10,-19,,2,21,25,20,41,10,22,,9,37,7,21,21,17,12,-6,68,,27,8,,-65,-31,16,16,,25,,14,64,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
045600_5..N71R::1404705600.0,,42,21,26,5,-19,10,2,29,-4,-19,,30,11,34,2,34,-4,14,,5,28,22,22,38,10,-16,9,55,,-1,0,,-27,-1,26,132,,2,,-4,22,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
046400_5..N71R::1404705600.0,,59,5,37,-6,13,36,142,22,-11,-19,,9,11,39,-8,20,9,26,,-3,-12,1,9,50,12,4,-11,7,,14,2,,19,-49,-21,12,,14,,23,18,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
046950_5..N24R::1404705600.0,,,,,-1,20,28,130,30,-7,-19,,,10,45,24,55,5,20,,20,,21,19,44,18,-9,-8,20,,6,6,,-1,-21,22,-4,,20,,15,12,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
047450_5..N14R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,,,,,,,,,
047500_5..N71R::1404705600.0,,58,10,24,13,27,32,3,39,6,71,,16,8,32,9,5,11,23,,14,22,-11,21,23,18,-8,11,69,,16,12,,14,-26,-1,9,,37,,2,16,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
048250_5..N71R::1404705600.0,,56,-24,58,-1,18,10,16,44,0,41,,6,14,24,5,40,6,8,,11,-18,21,-2,10,0,20,1,37,,-1,12,,-4,-24,-8,-6,,15,,-7,12,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
048750_5..N71R::1404705600.0,,82,10,16,-3,12,37,38,39,9,251,,15,12,54,8,26,14,47,,31,8,7,36,37,17,-8,14,25,,15,20,,-5,35,4,9,,54,,1,38,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
049600_5..N64R::1404705600.0,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050050_5..N71R::1404705600.0,,49,22,28,-7,-8,48,18,54,16,71,,18,26,16,13,37,-31,11,,-18,26,2,-2,12,45,19,6,19,,29,20,,-5,23,22,5,,26,,20,35,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
050550_5..N71R::1404705600.0,,49,10,47,6,25,22,125,60,24,71,,-12,13,22,-3,34,-11,66,,3,30,7,20,54,20,-22,-1,15,,4,11,,7,-63,17,25,,17,,15,51,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
051650_5..N66R::1404705600.0,,62,-239,16,22,6,46,49,33,5,11,,14,-14,49,-26,35,4,13,,6,39,19,21,24,5,14,-2,71,,-5,7,,-3,-16,-3,6,,21,,21,16,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
051900_5..N73R::1404705600.0,,57,18,32,-10,16,20,,,,,,19,-14,30,,-97,8,100,,,23,2,2,63,,,13,,,12,-13,,19,,,134,,-229,,24,10,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
052200_5..N65R::1404705600.0,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052350_5..N66R::1404705600.0,,49,-256,,13,-4,1,-18,17,-2,-79,,22,10,4,87,,-6,13,,9,48,12,6,7,12,12,-6,129,,-32,-24,,26,-25,-10,-3,,20,,12,18,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
052950_5..N66R::1404705600.0,,75,-260,28,5,-8,4,65,6,24,41,,17,2,15,12,35,-10,31,,8,26,19,25,32,31,-17,3,15,,5,-10,,3,8,20,-1,,30,,19,6,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
053400_5..N66R::1404705600.0,,45,-241,26,11,5,28,30,9,14,131,,-22,6,30,-74,46,-8,2,,15,19,11,25,18,25,-9,21,40,,-14,1,,12,7,6,19,,34,,17,-4,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,
054250_5..N66R::1404705600.0,,56,-252,25,10,-90,52,27,26,-9,11,,16,19,20,-6,41,-14,24,,-1,25,7,11,20,28,0,-8,23,,2,7,,11,17,11,4,,53,,30,17,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
054850_5..N66R::1404705600.0,,57,-241,5,-4,-50,14,13,73,-4,41,,-3,24,25,-58,28,9,5,,8,4,26,46,0,10,-11,5,56,,18,-8,,6,19,-16,4,,19,,4,-1,,,,37,,,,,,,,,,,,,,,,,,,,,,,,
054900_5..N67R::1404705600.0,,,,,,-9,26,,,,,,,,1,,,,1,,,,,27,11,,,,,,26,,,,,,-4,,5,,20,19,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
052700_5..N65R::1404705600.0,,,,,,41,25,34,26,,,101,,,32,,,,28,,,,,24,32,39,,,,,43,,,,30,,-22,,32,,-2,21,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
056050_5..N66R::1404705600.0,,59,-268,6,-4,-46,14,52,-2,7,-19,,2,8,18,12,28,3,77,,-13,7,15,37,23,81,-2,2,99,,18,-11,,16,-2,3,3,,31,,24,23,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
056600_5..N69R::1404705600.0,,,,,,25,11,,,,,,,,3,,-182,,28,,,,,34,17,,,,,,7,,,,,,7,,20,,31,5,,,,4,,,,,,15,-25,12,-66,14,-33,7,10,5,,,,,,,,,,49
056350_5..N65R::1404705600.0,,,,,,6,20,31,28,,,11,,,15,,48,,8,,,,,6,83,30,,,,,25,,,,-1,,4,,27,,3,11,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
057050_5..N66R::1404705600.0,,55,-254,35,-5,58,10,10,140,-24,251,,3,17,13,16,28,10,19,,-9,24,2,22,23,17,-2,21,29,,22,-1,,-10,18,-19,22,,10,,-11,33,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
057750_5..N66R::1404705600.0,,50,-246,29,17,12,29,23,19,-8,281,,0,23,21,-69,61,-2,26,,16,25,17,22,25,31,15,2,17,,27,18,,21,35,25,27,,19,,18,53,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
056750_5..N65R::1404705600.0,,,,,,6,68,28,24,,,40,,,16,,43,,32,,,,,40,21,15,,,,,30,,,,18,,8,,29,,22,18,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
058950_5..N69R::1404705600.0,,,,,,-56,-1,,,,,,,,-6,,-138,,11,,,,,23,21,,,,,,3,,,,,,17,,4,,13,35,,,,13,,,,,,16,2,9,41,15,12,16,22,120,,,,,,,,,,48
058850_5..N66R::1404705600.0,,56,-241,12,11,26,15,-2,27,-37,161,,6,0,33,0,41,-8,42,,5,13,8,5,19,-1,13,18,44,,16,-4,,14,7,19,24,,16,,8,19,,,,-28,,,,,,,,,,,,,,,,,,,,,,,,
059300_5..N66R::1404705600.0,,53,-242,21,19,-11,15,-1,28,6,221,,21,6,20,-59,39,-2,22,,-1,9,31,5,33,48,-1,9,235,,-23,12,,27,21,-17,8,,9,,26,-3,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,
060350_5..N66R::1404705600.0,,50,-254,28,21,22,8,20,132,-4,131,,24,16,9,-4,10,1,9,,-3,5,20,29,49,42,0,-5,146,,25,5,,21,17,23,23,,15,,-13,19,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
060950_5..N64R::1404705600.0,,,,,,2,8,12,5,23,41,,,,20,9,57,,15,,7,,,12,1,19,10,,70,,17,,,,-155,38,20,,8,,13,12,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,
061500_5..N66R::1404705600.0,,69,-237,27,7,13,30,10,22,14,101,,7,7,26,16,63,21,30,,13,19,22,20,39,37,15,12,-11,,17,16,,29,-20,10,-6,,11,,14,70,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
052700_5..N::1404705600.0,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054900_5..N::1404705600.0,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062000_5..N66R::1404705600.0,,46,-244,23,5,29,30,-8,20,-2,41,,0,13,5,-1,44,-14,27,,11,11,10,46,32,20,1,-38,25,,0,18,,-5,-34,-18,1,,20,,-5,36,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
062800_5..N66R::1404705600.0,,59,-256,28,8,13,24,6,27,-9,131,,13,30,0,-1,48,15,19,,10,20,-4,20,56,-3,-10,1,24,,-7,-1,,11,-4,7,6,,-15,,25,-9,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,
063400_5..N66R::1404705600.0,,44,-256,44,-1,19,20,50,20,8,221,,20,16,21,9,-41,11,46,,14,28,1,28,25,32,-10,6,23,,36,17,,-1,-1,4,14,,37,,27,32,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
064250_5..N66R::1404705600.0,,39,-244,13,2,17,20,9,10,-9,161,,2,17,18,-10,-62,11,-4,,-9,9,2,24,10,11,-3,-14,4,,-6,6,,2,2,12,14,,12,,8,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
065100_5..N67R::1404705600.0,,,,,,38,9,,,,,,,,28,,76,,19,,,,,37,22,,,,,,54,,,,,,12,,71,,33,28,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
065350_5..N66R::1404705600.0,,61,-255,31,-11,10,17,1,2,3,-49,,17,18,33,9,185,5,-11,,-13,26,-2,14,33,4,-4,-11,61,,19,6,,14,7,-11,6,,17,,32,31,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
066150_5..N66R::1404705600.0,,62,-234,37,14,40,27,19,18,13,-49,,16,41,30,12,97,-2,25,,11,30,11,43,21,25,0,22,64,,6,20,,18,23,15,15,,12,,22,23,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
066950_5..N66R::1404705600.0,,67,-260,13,16,4,32,5,44,6,71,,-14,22,57,5,25,-8,65,,0,33,7,33,33,26,-3,13,27,,39,16,,18,20,3,7,,58,,-15,-23,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
067750_5..N66R::1404705600.0,,48,-249,39,-4,14,3,6,13,4,341,,28,8,21,3,9,9,18,,3,15,-1,15,14,14,3,-10,32,,16,0,,-4,36,46,21,,10,,5,24,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
068550_5..N66R::1404705600.0,,48,-270,15,-2,27,14,9,-4,7,191,,13,14,2,9,-6,11,37,,11,29,1,22,37,28,16,1,170,,2,5,,1,8,-25,13,,10,,0,23,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
069350_5..N66R::1404705600.0,,51,-244,29,14,7,2,3,21,-2,191,,0,0,12,3,9,17,18,,11,11,3,3,7,18,-10,9,147,,13,5,,15,17,-11,22,,29,,17,10,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,
