,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
070150_5..N66R::1404705600.0,,47,-254,22,2,-6,36,11,36,6,371,,-15,6,34,-3,0,-9,19,,2,22,14,12,47,3,10,3,101,,24,-8,,-3,11,-3,-1,,6,,-35,10,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
070950_5..N66R::1404705600.0,,47,-264,1,13,9,6,7,7,13,191,,9,-10,8,17,35,-3,17,,16,19,18,28,41,29,-8,0,20,,7,10,,9,8,8,23,,14,,13,18,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
071750_5..N66R::1404705600.0,,64,-238,19,-7,8,4,19,20,1,101,,7,22,17,7,45,-21,-18,,-15,17,4,3,14,18,-5,-34,23,,15,8,,20,-1,-41,19,,20,,9,38,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
072550_5..N66R::1404705600.0,,56,-255,34,-8,-3,22,62,22,8,11,,21,-9,8,13,37,7,13,,14,28,25,-4,37,-8,17,1,17,,7,-16,,-12,9,-4,-6,,5,,-6,72,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
073350_5..N66R::1404705600.0,,65,-259,-13,24,31,22,20,26,2,-49,,21,45,44,29,35,0,34,,20,40,29,41,46,24,20,27,17,,9,23,,-1,23,1,13,,33,,33,34,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
074150_5..N66R::1404705600.0,,47,-258,36,-5,15,42,8,6,0,-49,,24,-4,8,29,12,16,24,,17,16,1,11,19,17,-8,0,91,,-10,-8,,25,11,-1,-2,,10,,-12,6,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,
074950_5..N66R::1404705600.0,,72,-248,5,-5,-3,31,14,0,13,-49,,1,-2,25,-13,-9,-13,39,,-4,1,14,21,25,27,-4,25,96,,8,18,,-10,8,-25,4,,19,,-34,18,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
075750_5..N66R::1404705600.0,,64,-252,26,3,16,36,38,33,34,-19,,2,22,30,16,7,7,38,,10,14,11,40,58,25,-6,16,0,,-13,17,,11,0,10,36,,23,,32,41,,,,27,,,,,,,,,,,,,,,,,,,,,,,,
076550_5..N66R::1404705600.0,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_5..N66R::1404705600.0,,53,-240,17,1,17,22,-75,7,-5,221,,2,8,8,-1,20,-12,10,,5,18,13,26,6,-3,-17,5,40,,-6,-6,,-2,16,-16,2,,24,,2,20,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
078150_5..N66R::1404705600.0,,69,-264,18,13,18,17,6,26,10,101,,8,-32,-5,10,21,0,32,,-17,15,22,20,12,8,-10,7,23,,24,24,,27,8,3,22,,23,,14,17,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,
078950_5..N66R::1404705600.0,,40,-240,27,3,2,0,15,4,7,-19,,5,18,18,9,-11,10,-15,,12,21,-40,22,22,14,17,-18,20,,-24,22,,6,0,1,28,,33,,7,3,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
079750_5..N66R::1404705600.0,,59,-256,25,2,-10,-10,-7,13,2,-19,,16,-2,2,2,12,13,27,,12,24,4,10,27,27,-9,0,23,,-2,16,,-1,15,-8,15,,15,,5,26,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
077150_5..N66R::1404705600.0,,53,-254,25,-3,22,4,7,1,8,,,17,10,7,-13,3,-10,31,,-4,-6,14,10,36,9,3,0,155,,17,-7,,-12,19,-19,36,,29,,-12,29,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
080550_5..N66R::1404705600.0,,60,-251,27,-11,-14,26,21,13,16,-19,,18,16,25,17,-22,8,25,,-17,24,-1,25,16,21,-12,8,28,,8,-3,,14,32,15,2,,19,,-37,39,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
081350_5..N66R::1404705600.0,,66,-263,10,-2,32,32,4,28,10,71,,14,9,35,8,-16,-26,20,,5,34,-11,33,24,4,5,22,58,,10,16,,2,14,-23,13,,36,,22,28,,,,28,,,,,,,,,,,,,,,,,,,,,,,,
082150_5..N66R::1404705600.0,,64,-242,46,10,3,-3,4,38,2,-79,,18,32,4,61,38,21,43,,9,20,9,5,38,16,12,-4,9,,11,7,,13,5,-1,16,,15,,6,22,,,,-16,,,,,,,,,,,,,,,,,,,,,,,,
082950_5..N66R::1404705600.0,,53,-263,40,-3,4,1,13,6,-10,-49,,18,18,2,85,33,18,34,,-10,20,-4,14,28,23,-5,-1,1,,12,22,,-96,7,8,14,,19,,16,8,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
083750_5..N66R::1404705600.0,,56,34,9,16,22,14,13,15,-12,41,,7,21,14,18,49,-2,26,,-12,36,11,17,11,24,-7,-5,-5,,20,-3,,19,19,12,-6,,32,,5,36,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
084550_5..N66R::1404705600.0,,77,3,32,-1,16,15,14,15,2,-49,,5,4,18,0,46,9,21,,-3,17,27,29,20,10,-6,12,22,,-2,-3,,1,20,5,24,,15,,-11,17,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
085350_5..N66R::1404705600.0,,60,10,30,-26,-2,16,17,6,-33,-19,,13,24,12,1,23,19,27,,8,25,11,-12,34,21,11,1,104,,-4,18,,0,10,-7,2,,29,,18,14,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
086150_5..N66R::1404705600.0,,64,16,22,8,13,-21,6,8,33,-19,,-15,4,-3,14,17,-1,42,,18,53,-7,0,13,8,-8,10,-9,,8,-7,,3,16,7,0,,16,,34,17,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
086950_5..N66R::1404705600.0,,41,30,30,13,209,22,-9,18,15,41,,11,20,21,-11,-51,-12,28,,-3,22,10,4,62,22,5,27,6,,14,10,,11,8,5,9,,31,,26,28,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
087750_5..N66R::1404705600.0,,48,20,40,6,5,18,21,29,-16,-79,,-4,-32,24,42,16,5,2,,11,5,31,28,10,10,7,-11,18,,0,4,,3,-4,1,9,,9,,9,0,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
088550_5..N66R::1404705600.0,,27,25,37,12,29,-22,6,-1,1,11,,2,10,22,0,49,-6,43,,34,17,38,-4,19,9,3,4,5,,21,10,,16,16,-55,10,,18,,30,71,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
089350_5..N66R::1404705600.0,,57,8,10,-9,21,20,-10,1,-14,101,,-24,24,16,-9,62,8,26,,-2,13,-5,11,29,-2,5,15,9,,2,4,,15,2,3,12,,38,,41,1,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,
090150_5..N66R::1404705600.0,,69,12,-6,14,2,16,23,8,-9,41,,13,4,10,-2,32,2,60,,7,21,21,24,19,5,-14,10,-8,,4,-5,,11,7,13,23,,11,,16,37,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
090950_5..N66R::1404705600.0,,31,14,10,20,11,45,25,21,16,-19,,23,30,40,-16,78,-29,24,,16,2,20,46,58,5,15,21,45,,10,-1,,27,25,12,27,,36,,13,38,,,,36,,,,,,,,,,,,,,,,,,,,,,,,
091550_5..N71R::1404705600.0,,48,30,-9,26,10,18,26,18,-3,11,,4,23,10,-6,36,19,19,,-9,18,26,25,25,74,-7,5,-4,,16,3,,-34,19,-2,5,,34,,21,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
092500_5..N71R::1404705600.0,,45,10,4,-4,30,22,12,-23,23,11,,21,16,41,19,36,8,41,,15,33,22,30,40,-29,16,-2,66,,24,-24,,-3,-2,24,14,,30,,20,39,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
093100_5..N74R::1404705600.0,,20,21,17,,11,6,-5,21,5,11,,2,,29,5,154,,51,,39,13,,11,41,24,-17,,77,,4,,,,8,-4,31,,10,,18,50,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,
093750_5..N74R::1404705600.0,,45,-17,30,,-12,3,-10,15,-12,41,,2,,28,-55,24,,26,,-4,11,,-8,41,-2,-26,,7,,28,,,,-3,11,-1,,-2,,14,14,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
094350_5..N74R::1404705600.0,,,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094950_5..N74R::1404705600.0,,64,20,2,,5,9,17,6,-7,41,,23,,43,1,-88,,30,,5,3,,17,44,-6,-13,,55,,12,,,,18,13,33,,0,,15,60,,,,-24,,,,,,,,,,,,,,,,,,,,,,,,
095550_5..N74R::1404705600.0,,57,4,16,,13,9,15,9,-6,101,,8,,4,-4,36,,24,,3,15,,9,36,21,8,,12,,16,,,,8,16,0,,15,,21,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
096550_5..N74R::1404705600.0,,60,5,13,,7,28,21,27,-4,-49,,12,,23,-57,116,,13,,22,15,,30,14,-10,-6,,120,,-1,,,,9,-3,8,,12,,55,24,,,,31,,,,,,,,,,,,,,,,,,,,,,,,
096950_5..N68R::1404705600.0,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097200_5..N76R::1404705600.0,,,,,,-10,8,8,-4,-35,11,,,,12,-35,28,,25,,3,,,16,21,21,10,,76,,18,,,,17,10,23,,21,,-11,15,,,,5,,,,,,10,14,23,-35,24,6,8,7,-8,,,,,,,,,,
097800_5..N74R::1404705600.0,,114,16,13,,34,26,-4,19,0,-109,,21,,19,57,88,,30,,20,35,,22,1,33,21,,18,,5,,,,-15,-7,14,,6,,-1,32,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
098800_5..N74R::1404705600.0,,75,22,28,,3,20,17,16,10,11,,-5,,24,-20,51,,-28,,-14,0,,13,34,48,-10,,26,,11,,,,31,-1,21,,9,,20,26,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
102500_5..N70R::1404705600.0,,,,,,25,38,,,,,,,,25,,-73,,16,,,,,10,47,,,,,,15,,,,,,-2,,47,,9,10,,,,10,,,,,,15,-6,2,3,-2,8,13,11,16,,,,,,,,,,
099150_5..N68R::1404705600.0,,,,,,-48,9,-1,15,,,11,,,-1,,29,,10,,,,,26,12,5,,,,,10,,,,38,,-23,,16,,3,56,,,,-3,,,,,,7,5,9,16,16,-101,4,2,-4,,,,,,,,,,
099700_5..N74R::1404705600.0,,72,28,1,,7,41,-3,17,12,-19,,6,,54,8,35,,20,,-1,24,,25,59,-29,1,,115,,24,,,,-33,9,15,,-16,,39,13,,,,-16,,,,,,,,,,,,,,,,,,,,,,,,
100150_5..N68R::1404705600.0,,,,,,4,21,1,27,,,-79,,,31,,260,,14,,,,,7,48,12,,,,,9,,,,1,,24,,7,,31,1,,,,12,,,,,,-4,15,-4,4,4,-5,7,9,-67,,,,,,,,,,
105000_5..N70R::1404705600.0,,,,,,18,27,,,,,,,,36,,-5,,28,,,,,10,18,,,,,,10,,,,,,14,,11,,2,10,,,,12,,,,,,697,,,,,447,,,,,,,,,,,,,
100700_5..N74R::1404705600.0,,57,11,9,,15,15,-2,8,7,41,,21,,41,9,33,,39,,13,5,,35,28,20,11,,71,,20,,,,-38,2,22,,37,,24,46,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
097550_5..N68R::1404705600.0,,,,,,0,17,13,16,,,,,,44,,72,,30,,,,,43,42,29,,,,,37,,,,55,,12,,30,,50,13,,,,-21,,,,,,7,24,25,-9,20,-17,-8,-7,-58,,,,,,,,,,
101150_5..N68R::1404705600.0,,,,,,-37,16,9,18,,,41,,,46,,60,,32,,,,,25,29,3,,,,,28,,,,-28,,32,,49,,32,19,,,,55,,,,,,-12,7,-11,-5,55,35,-6,22,-2,,,,,,,,,,
101200_5..N74R::1404705600.0,,35,3,20,,-21,45,14,9,9,11,,4,,40,7,139,,32,,-24,-17,,16,49,46,-6,,65,,23,,,,36,-4,21,,48,,-92,10,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
101650_5..N74R::1404705600.0,,71,-15,17,,2,40,1,-7,-2,41,,16,,20,3,98,,27,,0,20,,10,44,19,10,,137,,9,,,,10,-13,11,,22,,2,27,,,,-29,,,,,,,,,,,,,,,,,,,,,,,,
102850_5..N74R::1404705600.0,,43,1,15,,27,53,15,9,-7,-79,,6,,16,59,49,,34,,-2,17,,31,44,30,6,,98,,5,,,,16,13,34,,23,,16,19,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
102900_5..N68R::1404705600.0,,,,,,,,,,,,6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103300_5..N74R::1404705600.0,,57,9,6,,5,-84,-8,20,-9,101,,-3,,19,0,28,,2,,5,5,,13,31,5,9,,47,,18,,,,17,7,2,,38,,-2,0,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
103800_5..N74R::1404705600.0,,74,12,21,,19,34,8,5,16,101,,22,,42,-74,49,,49,,14,12,,6,79,32,4,,-26,,28,,,,18,15,21,,41,,19,13,,,,37,,,,,,,,,,,,,,,,,,,,,,,,
104400_5..N76R::1404705600.0,,,,,,-50,23,-2,8,14,11,,,,36,-17,12,,9,,-8,,,12,44,30,3,,41,,3,,,,16,17,0,,25,,14,31,,,,55,,,,,,656,,,,,447,,,,,,,,,,,,,
104500_5..N68R::1404705600.0,,,,,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104900_5..N74R::1404705600.0,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105350_5..N74R::1404705600.0,,59,15,27,,-10,24,0,23,-10,11,,-32,,12,-7,34,,10,,-5,-5,,35,21,-4,2,,-19,,16,,,,3,8,-9,,14,,16,-2,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,
105850_5..N76R::1404705600.0,,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103200_5..N68R::1404705600.0,,,,,,31,38,8,8,,,128,,,29,,95,,27,,,,,35,38,24,,,,,53,,,,12,,4,,18,,39,18,,,,-14,,,,,,802,,,,,415,,,,,,,,,,,,,
106450_5..N74R::1404705600.0,,53,9,27,,15,46,10,5,1,-139,,13,,63,90,65,,59,,-20,23,,32,65,6,13,,13,,26,,,,15,2,37,,28,,29,28,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
107050_5..N76R::1404705600.0,,,,,,-2,29,9,-9,-9,-79,,,,23,56,-9,,23,,-15,,,6,25,19,-6,,3,,14,,,,5,13,-3,,16,,14,28,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
108000_5..N74R::1404705600.0,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105750_5..N68R::1404705600.0,,,,,,7,52,17,12,,,41,,,8,,-18,,10,,,,,21,39,-2,,,,,31,,,,37,,9,,12,,22,35,,,,16,,,,,,788,,,,,839,,,,,,,,,,,,,
109200_5..N72R::1404705600.0,,,,,,,,,,,,6101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109450_5..N74R::1404705600.0,,16,-9,23,,7,27,28,2,3,-49,,-22,,53,5,36,,44,,7,38,,28,68,6,13,,105,,24,,,,18,-33,49,,10,,55,45,,,,45,,,,,,,,,,,,,,,,,,,,,,,,
110250_5..N74R::1404705600.0,,68,23,42,,11,19,20,30,9,161,,11,,27,8,28,,27,,9,29,,29,37,29,5,,120,,23,,,,191,2,22,,2,,11,9,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
108000_5..N::1404705600.0,,,,,,27,17,4,-3,20,,,,,16,108,355,,23,,-5,,,32,32,4,-6,,22,,5,,,,13,16,-22,,38,,16,23,,,,4,,,,,,-24,-15,-12,-10,16,5,11,9,0,,,,,,,,,,
111050_5..N74R::1404705600.0,,52,38,14,,3,20,14,116,-7,11,,18,,5,-8,47,,26,,22,35,,14,62,7,15,,252,,16,,,,51,-1,16,,15,,26,6,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
112050_5..N74R::1404705600.0,,50,305,-18,,-2,16,54,12,20,101,,17,,33,16,123,,6,,16,3,,28,37,48,-14,,196,,4,,,,28,27,21,,23,,19,9,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
110050_5..N74R::1404705600.0,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112950_5..N74R::1404705600.0,,,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000_5..N74R::1404705600.0,,69,16,36,,8,-53,-59,42,0,-49,,16,,35,8,86,,28,,-10,29,,37,41,23,0,,159,,7,,,,9,-14,28,,7,,-13,37,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
110350_5..N72R::1404705600.0,,39,39,16,,6,16,-3,59,,,41,31,,23,,13,,-16,,,35,,32,19,-19,,,,,26,,,,24,,7,,18,,35,13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N71R::1404705600.0,,,,,,,,,,,-169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114750_5..N71R::1404705600.0,,52,22,10,4,2,44,20,7,15,-109,,26,20,29,15,98,-20,45,,6,9,1,27,-15,13,23,10,136,,-26,23,,-32,8,14,15,,18,,13,6,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
111500_5..N74R::1404705600.0,,,,,,,,,,,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111550_5..N74R::1404705600.0,,24,25,10,,15,28,6,30,2,-19,,27,,-16,3,102,,26,,3,7,,-6,37,16,9,,64,,26,,,,23,-8,6,,15,,0,1,,,,27,,,,,,,,,,,,,,,,,,,,,,,,
115700_5..N71R::1404705600.0,,66,7,25,-61,17,14,15,11,13,71,,14,1,26,15,24,7,26,,-10,22,-3,23,10,-5,-3,10,2,,1,19,,22,-62,5,23,,-15,,25,18,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,
112950_5..N::1404705600.0,,52,356,18,,14,18,23,5,-13,71,,25,,24,-9,18,,3,,-4,-22,,13,8,-17,2,,158,,22,,,,0,22,20,,5,,3,9,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
116750_5..N71R::1404705600.0,,54,35,41,17,13,15,23,-12,-6,161,,17,11,37,21,37,19,32,,20,30,22,44,48,12,-8,23,21,,5,16,,29,25,27,27,,34,,11,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N::1404705600.0,,,,,-4,10,30,52,99,2,-19,,,-15,52,4,66,4,28,,7,,21,23,40,20,9,-1,12,,23,13,,-2,13,0,26,,34,,5,36,,,,18,,,,,,11,-6,-3,0,23,17,23,-8,2,,,,,,,,,,
107050_5..N::1404705600.0,,16,-24,14,,,,,,,,,8,,,,341,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117850_5..N71R::1404705600.0,,61,14,16,-11,29,23,11,8,-2,221,,24,-15,17,1,35,3,27,,-24,8,24,20,17,11,10,0,15,,21,-22,,18,-2,-13,3,,-1,,20,556,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
118900_5..N71R::1404705600.0,,50,12,22,5,46,5,28,-5,6,71,,4,32,18,7,35,10,11,,10,12,18,17,32,3,12,13,7,,-6,12,,9,-4,1,25,,7,,408,22,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
119700_5..N71R::1404705600.0,,55,7,30,5,4,7,-13,7,-3,-19,,18,15,17,1,-11,-11,29,,8,25,8,19,193,-14,-14,17,37,,3,18,,2,-16,-10,33,,-8,,28,120,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
120950_5..N71R::1404705600.0,,49,26,-6,8,54,23,6,-6,-10,71,,6,-4,18,-8,5,-9,18,,-53,17,8,28,25,12,-35,-28,62,,5,15,,8,5,-19,6,,7,,-1,-6,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
121800_5..N71R::1404705600.0,,74,22,36,1,14,14,-10,28,-14,101,,26,-11,11,-9,24,-10,0,,2,1,15,31,22,5,10,-20,47,,9,0,,-7,-2,2,-23,,-1,,-20,56,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,
123100_5..N71R::1404705600.0,,53,5,18,15,25,23,-3,-4,-3,-49,,28,10,3,-4,30,17,9,,1,-17,28,-18,3,0,5,1,7,,-1,4,,23,6,-11,7,,18,,15,23,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
126450_5..N73R::1404705600.0,,67,34,29,21,52,14,,,,,,11,22,20,,18,1,21,,,-8,20,22,47,,,7,,,22,15,,21,,,14,,-19,,3,27,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
127450_5..N73R::1404705600.0,,-99,21,32,0,21,-7,,,,,,-4,-1,7,,28,-11,13,,,0,12,3,31,,,-1,,,-15,17,,-5,,,6,,5951,,4,91,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
128450_5..N73R::1404705600.0,,67,0,22,-4,30,-8,,,,,,5,21,0,,21,-18,21,,,14,7,0,83,,,-6,,,9,7,,-10,,,-9,,-19,,14,96,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
